IAB,age,dp_ct,frequency_app_update,frequency_of_appearence_in_days,id,life,max_hop,max_val,mean_hop,min_val,gender_Female,gender_Male,gender_O,gender_Unknown,DeviceOS_value_Android,DeviceOS_value_BlackBerry OS,DeviceOS_value_Linux,DeviceOS_value_Mac OS X,DeviceOS_value_MeeGo,DeviceOS_value_Other,DeviceOS_value_Symbian OS,DeviceOS_value_Ubuntu,DeviceOS_value_Unknown,DeviceOS_value_Windows 10,DeviceOS_value_Windows 7,DeviceOS_value_Windows 8,DeviceOS_value_Windows 8.1,DeviceOS_value_Windows Phone,DeviceOS_value_Windows RT,DeviceOS_value_Windows Vista,DeviceOS_value_Windows XP,DeviceOS_value_android,DeviceOS_value_iOS,DeviceOS_value_ios,mean_val
{'IAB1_7': 213},21,2,0,4,00115b0a-74cc-45b0-9627-4bd48d06c836,30,10,32,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
{},25,1,0,2,001552A7-A5E0-4609-ADC6-94C627B8AA64,50,50,431,50,381,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
"{'IAB19': 213, 'IAB22': 213, 'IAB3': 213, 'IAB301': 624, 'IAB302_2': 624, 'IAB308_1': 624, 'IAB308_3': 624, 'IAB320_1': 624, 'IAB320_4': 624, 'IAB7': 213, 'IAB7_1': 213, 'IAB8': 213, 'IAB9_23': 213}",18,5,19,56,0017806e-9293-4060-84e4-7e7092240f96,569,20,571,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
{'IAB9_23': 213},25,3,0,4,0019134b-9f30-4c1b-883d-7fb8b6f3f5c9,30,10,541,10,511,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
{'IAB5_5': 213},25,4,9,19,00195855-3e11-406b-91f3-8fecb156496b,280,60,282,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
{},25,1,0,7,0019D9B5-1300-4671-9335-1DB9646D76E8,419,230,481,69,62,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59
{},25,2,0,7,001A3A72-509C-466B-A38A-8E5193E2BE0F,569,509,581,94,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81
{'IAB1_7': 213},25,1,0,4,001b78f9-7b9d-4814-aed2-7c88d705f561,429,319,561,143,132,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107
"{'IAB19': 213, 'IAB9_30': 213}",25,4,0,3,001d2e2f-e137-499b-9946-13f53c184bd6,29,19,361,14,332,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
{},25,1,0,2,001def06-96cc-4f9a-9bcb-e6ab59319ab0,369,369,571,369,202,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184
{},25,1,0,7,001e93df-c919-4b77-8817-115c50268d1a,100,30,102,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
"{'IAB10': 213, 'IAB22': 213, 'IAB301': 624, 'IAB302_2': 624, 'IAB305': 624, 'IAB308_1': 624, 'IAB308_3': 624, 'IAB308_4': 624, 'IAB310_1': 624, 'IAB318_8': 624, 'IAB320_4': 624, 'IAB7': 213, 'IAB8': 213}",25,5,7,31,0020822c-88e9-4175-a1ca-cfc382f0b9c1,300,10,302,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
{'IAB120_29': 556},25,2,0,4,00225cba-5632-4c6d-8453-b1d9fd57c8a5,469,449,491,156,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,117
"{'IAB14': 213, 'IAB19': 213, 'IAB22': 213, 'IAB301': 624, 'IAB302_2': 624, 'IAB305': 624, 'IAB308_4': 624, 'IAB318_8': 624, 'IAB318_9': 624, 'IAB320_1': 624, 'IAB7': 213, 'IAB9': 213}",27,5,3,48,00227d57-3a97-4891-af86-19210c4ce4fa,499,20,501,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
{},25,3,0,12,00244122-b7e7-4170-8916-bf936c39f93c,299,129,541,27,242,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
"{'IAB12': 213, 'IAB22': 213, 'IAB3': 213}",50,1,0,6,0025baed-c5d9-496e-92ba-511774857110,120,50,332,24,212,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
"{'IAB19': 213, 'IAB1_7': 213, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_5': 213}",25,5,0,47,0027e869-4f86-4182-83b0-d885101c7162,469,19,511,10,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
{},25,1,0,4,002802AA-5532-451A-A0BA-6B27DEFCB403,359,269,541,119,182,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89
{},25,1,0,30,002820ff-5745-4651-b37e-d29cb9aefd57,368,39,640,12,272,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
"{'IAB19': 213, 'IAB22': 213, 'IAB9': 213}",25,2,0,40,0029d50b-5e0e-4b00-9693-4c4d4bb43e6b,409,20,471,10,62,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
{'IAB22': 213},35,2,0,33,002c8641-5a6a-4c8a-86ca-49f3f0c9dc6b,618,119,620,18,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
{},25,1,0,6,002d3840-e9f0-4a1e-9cf5-2878e91822ff,50,10,421,10,371,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
{'IAB1_7': 213},25,2,0,2,002dca73-156f-4ef3-8268-1e5079b2126a,10,10,640,10,630,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"{'IAB19': 213, 'IAB22': 213, 'IAB7': 213, 'IAB9_23': 26, 'IAB9_30': 213, 'IAB9_7': 213}",25,4,0,31,002f6d84-ecb1-40f5-b12c-f7b2a1852667,348,39,630,11,282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
{},25,1,0,4,00319106-6206-46CD-9A12-A671E8856ADE,359,329,371,119,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89
{},25,3,0,34,00364046-b022-4973-915a-ab32c27611d6,398,39,630,12,232,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"{'IAB19': 213, 'IAB1_5': 213, 'IAB9': 213}",25,5,0,13,00371ced-c4c6-40a9-9643-a1a511575e30,179,49,640,14,461,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"{'IAB19': 213, 'IAB22': 213, 'IAB306_1': 624, 'IAB308_1': 624, 'IAB318_1': 624, 'IAB320_4': 624}",18,5,13,56,003b9482-20d4-4aed-b509-5705acc0841a,579,20,581,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
{},25,2,0,10,003c26f1-8d87-49ff-8c03-419169c710a7,89,10,421,9,332,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"{'IAB22': 213, 'IAB9_23': 213}",25,2,0,2,003da4c0-32ea-43b9-a785-b1c70d5f113e,10,10,332,10,322,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
{},25,4,0,16,003dc1f2-45d7-4044-bf3f-5b4b7df1c86c,529,159,561,35,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33
"{'IAB1': 213, 'IAB10': 213, 'IAB17': 213, 'IAB17_44': 213, 'IAB18': 213, 'IAB19': 213, 'IAB19_29': 26, 'IAB22': 213, 'IAB2_3': 213, 'IAB5_5': 213, 'IAB7': 213, 'IAB9': 213, 'IAB9_30': 26}",35,3,0,17,003ebd12-2ab9-4781-89e7-d77a71ea68f9,189,39,640,11,451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"{'IAB22': 213, 'IAB3_4': 213, 'IAB5_5': 213, 'IAB9_23': 213}",22,5,0,4,003edf1f-f2f8-40f3-a26d-d1b289633b06,30,10,471,10,441,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"{'IAB19': 213, 'IAB1_6': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB9': 213, 'IAB9_23': 213}",18,3,0,10,003f6d89-c4dc-49d3-a0ee-b9d3f79a92b5,99,19,381,11,282,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
,25,2,0,6,004062f9-caef-445a-8587-2d98b83eabb2,110,50,152,22,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
{},25,2,0,21,00415615-68cc-4881-9d8c-c65dad618d14,469,180,471,22,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
"{'IAB19': 213, 'IAB22': 213, 'IAB9': 213}",18,4,7,23,0042062f-4e37-498a-8d16-7a4939b1bec2,230,20,242,10,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"{'IAB22': 213, 'IAB9_23': 213}",25,3,0,2,0043c0bd-bd46-4919-9740-d00dc439de67,10,10,371,10,361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"{'IAB7': 213, 'IAB7_1': 213}",25,2,0,2,00468638-289a-4ee3-aa03-dedf75b6e1c7,120,120,342,120,222,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60
"{'IAB302_2': 624, 'IAB305': 624, 'IAB308_1': 624, 'IAB308_4': 624, 'IAB320_4': 624, 'IAB5_5': 213}",18,4,41,39,0047b590-3607-486c-9d81-d86158365d31,459,50,461,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"{'IAB1_7': 213, 'IAB22': 213}",25,3,32,20,0048c36e-475d-453d-9cda-795da102ed21,190,10,192,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB19': 213, 'IAB9': 213}",18,2,0,4,00495224-2730-4600-b122-acb80e95a626,70,50,521,23,451,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
"{'IAB19': 213, 'IAB9': 213}",35,5,0,26,0049a4b9-8d67-4fbe-b202-65b2cd163f09,338,39,640,13,302,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
{'IAB22': 213},25,3,0,18,004be85b-84e6-41c8-a478-aa33559e1018,279,109,431,16,152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
"{'IAB12': 213, 'IAB19': 213, 'IAB22': 213, 'IAB3': 213, 'IAB9': 213}",50,2,12,6,004c193c-ff29-4151-93e9-4a7a0f6f6c16,389,349,541,77,152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64
"{'IAB19': 213, 'IAB1_5': 213, 'IAB22': 213, 'IAB2_3': 213, 'IAB301': 624, 'IAB302_2': 624, 'IAB305': 624, 'IAB307': 624, 'IAB308_3': 624, 'IAB308_4': 624, 'IAB316': 624, 'IAB318_1': 624, 'IAB318_8': 624, 'IAB318_9': 624, 'IAB320_3': 624, 'IAB320_4': 624, 'IAB7': 213, 'IAB8': 213, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_30': 213}",18,5,6,53,004dd1c0-3e64-4bb7-9bc0-edbdcd3ef1cb,519,10,521,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB17': 213, 'IAB19': 213, 'IAB22': 213, 'IAB301': 624, 'IAB305': 624, 'IAB320_4': 624, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_30': 213}",18,5,2,50,004f0510-73e6-4942-8b0b-3e53b45badf3,489,10,571,9,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB19': 213, 'IAB22': 213, 'IAB301': 624, 'IAB308_1': 624, 'IAB308_4': 624, 'IAB320_4': 624, 'IAB9': 213, 'IAB9_5': 213}",18,5,0,33,004f324e-66d7-48d3-94ed-9b5b2667f547,359,30,571,11,212,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
{},25,2,0,7,005291c6-5604-478f-aaf7-0e99a8539e01,449,190,461,74,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64
"{'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB7': 213, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_30': 213, 'IAB9_5': 213}",18,4,3,27,0053f13e-f00d-4978-a96b-6120fa3eb1ea,260,10,262,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB17_44': 213, 'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB9_23': 213}",21,4,11,58,0054df8e-5ffe-4b56-81fb-08c47dfb94b0,579,19,581,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
{'IAB22': 213},25,1,0,4,0057c980-9284-4ebb-ab70-35f094a29504,59,39,640,19,581,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
"{'IAB19': 213, 'IAB22': 213, 'IAB5_5': 213, 'IAB7': 213, 'IAB8': 213}",25,2,0,33,00594a59-ef80-473c-bc51-b0c418265ea5,349,30,421,10,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"{'IAB19': 213, 'IAB9_30': 213}",25,4,0,5,005a9249-645d-415b-b083-703dca5efc37,40,10,411,10,371,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"{'IAB19': 213, 'IAB22': 213, 'IAB9': 213, 'IAB9_5': 213}",25,3,2,8,005c7544-4c4b-40b2-ab56-e893d4826d7e,80,20,112,11,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"{'IAB17': 213, 'IAB19': 213, 'IAB1_6': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB9': 213, 'IAB9_30': 26}",25,4,33,57,00601587-2f98-4543-9719-ff757d843bbd,569,19,571,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
{},25,3,0,8,0060afef-2942-464c-9aa1-9e6fd8c607ca,469,229,471,58,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"{'IAB14': 213, 'IAB19': 213, 'IAB22': 213, 'IAB9': 213}",18,1,0,35,00610989-7dfb-4cc6-b4bf-c1c14b4d5032,340,10,342,9,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
"{'IAB10': 213, 'IAB17_44': 213, 'IAB19': 213, 'IAB22': 213, 'IAB2_3': 213, 'IAB3_4': 213, 'IAB7': 213, 'IAB8': 213, 'IAB9': 213, 'IAB9_30': 213}",18,3,11,53,00611895-2d08-442e-8854-a0479be70d19,569,30,571,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
{},18,3,0,23,0061ea2f-6f11-46c3-bd96-7f9a71a1dfa5,280,50,282,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
"{'IAB1_6': 213, 'IAB9_23': 213}",25,2,0,2,00643413-5080-45da-8f81-03e892f6a75a,10,10,491,10,481,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"{'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_30': 213, 'IAB9_5': 213}",25,2,0,14,006486db-6313-4be6-a27e-f2251c16a19d,459,330,461,32,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32
"{'IAB19': 213, 'IAB22': 213, 'IAB301': 624, 'IAB302_2': 624, 'IAB305': 624, 'IAB307': 624, 'IAB310_1': 624, 'IAB316': 624, 'IAB318_3': 624, 'IAB318_9': 624, 'IAB320_3': 624, 'IAB320_4': 624, 'IAB7': 213, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_30': 213}",18,5,7,51,00656ed2-8a33-42fa-8c49-28ddc0f18a90,539,30,541,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"{'IAB301': 624, 'IAB302_2': 624, 'IAB305': 624, 'IAB308_4': 624, 'IAB318_8': 624, 'IAB318_9': 624}",25,2,0,2,0066AD44-0FD2-4E02-944F-A36B98D40166,20,20,381,20,361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"{'IAB19': 213, 'IAB22': 213, 'IAB308_1': 624, 'IAB320_4': 624, 'IAB9': 213}",25,5,4,21,006a511e-0086-42d0-99b6-ce678158fbfe,419,160,421,19,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
"{'IAB10': 213, 'IAB22': 213, 'IAB7': 213, 'IAB8': 213}",25,4,10,33,006b1809-4cca-4a52-b116-23b59a1b67a3,340,20,342,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
{},25,3,2,8,006b9b98-ef2d-48cb-b92d-b7b62f3b6cee,230,110,282,32,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28
{},25,2,0,16,006bf0ef-0421-4831-8ca3-6634e3d5ba3e,330,60,332,20,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
"{'IAB1_5': 213, 'IAB1_7': 213}",25,4,0,23,006c0cee-0f17-4f65-8cbc-de91114a75ae,310,50,312,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
{},25,1,0,3,006d4bda-c773-4387-83c1-ee26023f260b,20,10,32,10,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
{},25,1,0,11,00708e1c-d4bb-4874-a43a-67c28a0a4c58,508,379,640,50,132,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46
"{'IAB19': 213, 'IAB9': 213}",25,4,0,4,00722622-0ba9-42e6-aa8f-9a19088a6453,30,10,571,10,541,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
"{'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB9': 213, 'IAB9_23': 213}",18,4,9,37,0072c6f1-0eae-41e7-b17f-2a388a96bc2d,369,20,371,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB307': 624, 'IAB320_3': 624}",25,3,0,10,0073fb11-bd0e-4150-843c-4522a1be20ed,249,70,401,27,152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
"{'IAB10': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB7': 213}",18,4,11,10,007454be-f8b8-4e79-b75e-a80c1f29d56b,90,10,102,10,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB19': 213, 'IAB9_30': 213}",25,2,0,4,0075bd05-1739-4b22-99b0-ca278b41383c,30,10,192,10,162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"{'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB7': 213, 'IAB9': 213, 'IAB9_30': 213}",18,3,25,56,0075ec46-7ab5-4926-a5a1-c34c30d399a8,638,39,640,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
{},25,1,0,28,007614a3-e32e-42d9-9291-70c613a06dcc,308,39,630,11,322,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
{},25,1,0,3,007639FD-457D-4318-BF5E-AF37A4F0E49A,30,20,531,15,501,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
"{'IAB1': 213, 'IAB10': 213, 'IAB22': 213, 'IAB3_4': 213, 'IAB9_23': 213}",25,3,0,3,0079673c-70c6-4c16-b96f-adaab972056f,40,30,272,20,232,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
{'IAB5_5': 213},25,2,0,55,007ba39f-f088-4e89-889f-db86547c1ab3,628,39,640,11,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
"{'IAB12': 213, 'IAB22': 213, 'IAB3': 213}",25,3,0,28,007cfada-7345-4ec7-9ff5-1e0960318f24,359,79,361,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
"{'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB302_2': 624, 'IAB305': 624, 'IAB308_4': 624, 'IAB316': 624, 'IAB320_4': 624, 'IAB9_23': 213, 'IAB9_30': 213}",25,5,7,39,007d3d47-4a7e-4151-9a44-93f87df56215,389,19,391,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"{'IAB19': 213, 'IAB9': 213, 'IAB9_5': 213}",25,3,0,21,007d48e7-8ecf-4f93-95fc-4734c1279298,368,70,620,18,252,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
{'IAB19': 213},25,2,0,26,007ea291-6dd9-4bf1-b51a-71818230ac97,368,79,620,14,252,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
{'IAB22': 213},25,4,0,11,007ed8b0-5f2e-4d27-9014-5bc1513edcc5,220,90,272,22,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20
"{'IAB19': 213, 'IAB1_6': 213, 'IAB9': 213}",25,2,0,21,008291cb-18a6-430c-9944-7e10370f9b92,210,20,252,10,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
{},25,1,0,19,0082A321-C9F3-4435-B110-09CD2D666A25,329,50,541,18,212,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
